Field Name,Value
Examiner Prefix,balls
Remitter Prefix 1,Mr
Remitter Name 1,1234
Remitter PAN TAN,AAAAZ1234C
Beneficiary Prefix,po
Beneficiary Name Header,1234
Beneficiary Name,000
Beneficiary Flat Door Building,107
Beneficiary Premises Building Village,Jones-Garcia
Beneficiary Road Street,466 Johnson Garden
Beneficiary Area Locality,field
Beneficiary Town City District,Patrickborough
Beneficiary State,Michigan
Beneficiary Country,Kiribati
Beneficiary ZIP Code,99248
Remittance Country,Zimbabwe
Remittance Currency,AUD
Amount Payable Foreign Currency,77691.08
Amount Payable Indian Rs,5585594.05
Bank Name,The Thane District Central Co-Op Bank Ltd
Bank Branch Name,West Brad
Bank BSR Code,3644275
Proposed Remittance Date,2025-05-17
Nature of Remittance Agreement,BUSINESS INCOME OTHER THAN THAT COVERED BY CATEGORIES ABOVE
RBI Purpose Code Category,RB-0.2
RBI Purpose Code Specific,RB-0.2-S0007
Grossed Up Flag,N
Taxability India Flag,N
Taxability India Reason Not Taxable,Not taxable as per section 4
Taxability India Section,
Taxability India Chargeable Amount,
Taxability India Tax Liability,
Taxability India Basis,
DTAA Relief Claimed Flag,Y
DTAA TRC Obtained Flag,Y
DTAA Relevant Treaty,116
DTAA Relevant Article,5
DTAA Taxable Income,67924.49
DTAA Tax Liability,5433.96
DTAA Royalties FTS Flag,Y
DTAA Royalties FTS Article,9
DTAA Royalties FTS TDS Rate,0.19
DTAA Business Income Flag,N
DTAA Business Income Taxable India Flag,
DTAA Business Income Tax Rate Basis,
DTAA Business Income Not Taxable Reason,
DTAA Capital Gains Flag,Y
DTAA Capital Gains LTCG Amount,54140.74
DTAA Capital Gains STCG Amount,37843.88
DTAA Capital Gains Basis,Pm much feel well good house newspaper.
DTAA Other Remittance Flag,Y
DTAA Other Remittance Nature,Official far employee large.
DTAA Other Remittance Taxable Flag,Y
DTAA Other Remittance TDS Rate,0.22
DTAA Other Remittance Not Taxable Reason,
TDS Amount Foreign Currency,0
TDS Amount Indian Rs,0.0
TDS Rate Basis,2
TDS Rate Value,0.1
Actual Remittance After TDS Foreign Currency,77691.08
TDS Deduction Date,2025-04-14
Accountant Name,Juan Green
Accountant Firm Name,"Doyle, Wells and Davenport"
Accountant Address Line1,764
Accountant Address Premises Building Village,"Clay, Wilson and Smith"
Accountant Address Road Street,159 Doyle Ferry Suite 032
Accountant Address Area Locality,determine
Accountant Address Town City District,North Elizabethview
Accountant Address Type,Domestic
Accountant Address Country,India
Accountant Address ZIP Code,94440
Accountant Membership No,942474
Accountant Registration No,14531718
